comparison,delta,power,holm_alpha
A5_vs_A0,0.02,0.2236,0.01
A5_vs_A0,0.025,0.3262,0.01
A5_vs_A0,0.03,0.4197,0.01
A5_vs_A0,0.035,0.4555,0.01
A5_vs_A0,0.04,0.8095,0.01
A5_vs_A0,0.045,0.868,0.01
A5_vs_A0,0.05,0.9546,0.01
A5_vs_A0,0.055,0.9663,0.01
A5_vs_A0,0.06,0.9798,0.01
A5_vs_A0,0.065,0.9809,0.01
A5_vs_A0,0.07,0.9787,0.01
A5_vs_A0,0.075,0.989,0.01
A5_vs_A0,0.08,0.9919,0.01
A5_vs_A0,0.085,0.993,0.01
A5_vs_A0,0.09,0.9955,0.01
A5_vs_A0,0.095,0.9999,0.01
A5_vs_A0,0.1,0.9998,0.01
A5_vs_A0,0.105,1.0,0.01
A5_vs_A0,0.11,1.0,0.01
A5_vs_A0,0.115,1.0,0.01
A5_vs_A0,0.12,1.0,0.01
A5_vs_A0,0.125,1.0,0.01
A5_vs_A0,0.13,1.0,0.01
A5_vs_A0,0.135,1.0,0.01
A5_vs_A0,0.14,1.0,0.01
A5_vs_A0,0.145,1.0,0.01
A5_vs_A0,0.15,1.0,0.01
A5_vs_A0,0.155,1.0,0.01
A5_vs_A0,0.16,1.0,0.01
A5_vs_A0,0.165,1.0,0.01
A5_vs_A0,0.17,1.0,0.01
A5_vs_A0,0.175,1.0,0.01
A5_vs_A0,0.18,1.0,0.01
A5_vs_A0,0.185,1.0,0.01
A5_vs_A0,0.19,1.0,0.01
A5_vs_A0,0.195,1.0,0.01
A5_vs_A0,0.2,1.0,0.01
